onset	duration	label
0.715	2.93	eyes_closed	
36.625	3.145	eyes_closed	
85.215	2.835	eyes_closed	
97.82	2.745	eyes_closed	
120.22	2.955	eyes_closed	
130.485	3.11	eyes_closed	
145.68	2.59	eyes_closed	
161.265	2.615	eyes_closed	
168.88	3.365	eyes_closed	
182.55	2.93	eyes_closed	
214.49	3.695	eyes_closed	
221.67	2.955	eyes_closed	
242.475	2.875	eyes_closed	
304.465	2.91	eyes_closed	
319.735	2.605	eyes_closed	
349.645	2.64	eyes_closed	
368.69	3.045	eyes_closed	
380.515	2.8	eyes_closed	
405.47	3.655	eyes_closed	
424.62	3.055	eyes_closed	
440.1	3.19	eyes_closed	
490.995	2.625	eyes_closed	
