onset	duration	label
17.37	2.73	eyes_closed	
34.295	3.2	eyes_closed	
39.68	3.98	eyes_closed	
66.985	3.565	eyes_closed	
76.2	3.365	eyes_closed	
79.735	3.915	eyes_closed	
86.945	3.005	eyes_closed	
90.455	3.37	eyes_closed	
101.905	3.085	eyes_closed	
108.865	3.485	eyes_closed	
114.185	4.475	eyes_closed	
121.38	4.565	eyes_closed	
145.72	3.085	eyes_closed	
150.51	3.525	eyes_closed	
189.99	3.215	eyes_closed	
198.97	3.305	eyes_closed	
213.76	3.72	eyes_closed	
225.43	3.19	eyes_closed	
242.745	3.5	eyes_closed	
248.355	3.17	eyes_closed	
296.515	3.2	eyes_closed	
319.5	3.255	eyes_closed	
