name	type	units	description	sampling_frequency	low_cutoff	high_cutoff	notch	status
Fp1	EEG	uV	electrode	200	0.5	70	n/a	good
Fp2	EEG	uV	electrode	200	0.5	70	n/a	good
F3	EEG	uV	electrode	200	0.5	70	n/a	good
F4	EEG	uV	electrode	200	0.5	70	n/a	good
C3	EEG	uV	electrode	200	0.5	70	n/a	good
C4	EEG	uV	electrode	200	0.5	70	n/a	good
P3	EEG	uV	electrode	200	0.5	70	n/a	good
P4	EEG	uV	electrode	200	0.5	70	n/a	good
O1	EEG	uV	electrode	200	0.5	70	n/a	good
O2	EEG	uV	electrode	200	0.5	70	n/a	good
F7	EEG	uV	electrode	200	0.5	70	n/a	good
F8	EEG	uV	electrode	200	0.5	70	n/a	good
T3	EEG	uV	electrode	200	0.5	70	n/a	good
T4	EEG	uV	electrode	200	0.5	70	n/a	good
T5	EEG	uV	electrode	200	0.5	70	n/a	good
T6	EEG	uV	electrode	200	0.5	70	n/a	good
FZ	EEG	uV	electrode	200	0.5	70	n/a	good
CZ	EEG	uV	electrode	200	0.5	70	n/a	good
PZ	EEG	uV	electrode	200	0.5	70	n/a	good
Pg1	EEG	uV	electrode	200	0.5	70	n/a	good
Pg2	EEG	uV	electrode	200	0.5	70	n/a	good
ECG	ECG	uV	electrode	200	0.5	70	n/a	good
