onset	duration	label
3.055	3.63	eyes_closed	
11.895	4.57	eyes_closed	
19.115	4.62	eyes_closed	
25	6.255	eyes_closed	
32.48	3.605	eyes_closed	
40.615	3.135	eyes_closed	
47.94	2.895	eyes_closed	
53.55	3.435	eyes_closed	
57.075	2.745	eyes_closed	
63.265	3.07	eyes_closed	
80.405	2.78	eyes_closed	
84.7	4.45	eyes_closed	
91.11	2.99	eyes_closed	
98.97	3.445	eyes_closed	
105.965	3.085	eyes_closed	
111.32	3.055	eyes_closed	
117.05	4.375	eyes_closed	
126.685	3.445	eyes_closed	
130.315	3.745	eyes_closed	
135.195	2.98	eyes_closed	
145.26	3.515	eyes_closed	
151.15	3.55	eyes_closed	
165.56	3.96	eyes_closed	
170.16	3.495	eyes_closed	
174.635	3.51	eyes_closed	
178.46	4.75	eyes_closed	
