onset	duration	label
15.825	3.46	eyes_closed	
24.125	3.97	eyes_closed	
33.63	3.055	eyes_closed	
36.895	3	eyes_closed	
51.985	3.72	eyes_closed	
94.935	3.095	eyes_closed	
98.54	3.77	eyes_closed	
109.375	3.435	eyes_closed	
115.55	3.915	eyes_closed	
120.43	3.995	eyes_closed	
176.165	3.73	eyes_closed	
180.185	2.79	eyes_closed	
184.285	3.21	eyes_closed	
216.345	3.315	eyes_closed	
228.175	4.28	eyes_closed	
278.54	4.335	eyes_closed	
306.475	2.69	eyes_closed	
316.005	3.565	eyes_closed	
339.545	4.15	eyes_closed	
443.11	3.3	eyes_closed	
451.45	4.4	eyes_closed	
459.085	3.725	eyes_closed	
