onset	duration	label
9.1	3.76	eyes_closed	
22.675	3.62	eyes_closed	
30.93	3.055	eyes_closed	
34.255	2.925	eyes_closed	
39.285	5.18	eyes_closed	
45.38	3.8	eyes_closed	
50.575	4.375	eyes_closed	
55.59	3.965	eyes_closed	
60.26	4.39	eyes_closed	
67.795	3.63	eyes_closed	
76.735	5.105	eyes_closed	
82.13	4.83	eyes_closed	
92.91	4.375	eyes_closed	
98.785	3.055	eyes_closed	
105.995	5.61	eyes_closed	
111.765	3.145	eyes_closed	
115.695	4.095	eyes_closed	
120.29	4.605	eyes_closed	
125.615	4.045	eyes_closed	
131.005	3.88	eyes_closed	
135.235	4.14	eyes_closed	
139.585	2.74	eyes_closed	
