onset	duration	label
67.26	4.31	eyes_closed	
77.025	4.685	eyes_closed	
83.095	5.315	eyes_closed	
92.94	4.595	eyes_closed	
97.64	4.135	eyes_closed	
102.325	5.115	eyes_closed	
108.85	3.62	eyes_closed	
114.06	4.555	eyes_closed	
122.35	4.15	eyes_closed	
128.955	3.395	eyes_closed	
137.47	4.79	eyes_closed	
143.655	4.805	eyes_closed	
151.83	3.705	eyes_closed	
165.825	4.06	eyes_closed	
170.77	4.085	eyes_closed	
185.695	7.595	eyes_closed	
195.105	3.72	eyes_closed	
221.28	3.55	eyes_closed	
228.175	5.69	eyes_closed	
234.035	3.905	eyes_closed	
242.415	4.39	eyes_closed	
248.75	4.735	eyes_closed	
264.855	3.605	eyes_closed	
