onset	duration	label
18.955	2.73	eyes_closed	
29.97	4.915	eyes_closed	
36.525	4.505	eyes_closed	
47.155	14.445	eyes_closed	
68.29	2.61	eyes_closed	
100.815	2.74	eyes_closed	
112.74	9.9	eyes_closed	
120.42	7.2	eyes_closed	
133.02	3.125	eyes_closed	
137.945	2.875	eyes_closed	
265.025	2.655	eyes_closed	
270.71	4.605	eyes_closed	
286.755	2.735	eyes_closed	
311.69	2.61	eyes_closed	
315.88	3.735	eyes_closed	
322.96	4.165	eyes_closed	
385.345	2.585	eyes_closed	
416.195	6.83	eyes_closed	
436.515	5.405	eyes_closed	
444.895	4.815	eyes_closed	
460.445	3.135	eyes_closed	
542.525	5.56	eyes_open	
549.61	3.62	eyes_open	
568.3	4.6	eyes_open	
575.065	3.465	eyes_open	
592.75	7.455	eyes_open	
614.87	3.81	eyes_open	
621.365	3.055	eyes_open	
644.78	2.785	eyes_open	
648.69	7.57	eyes_open	
