onset	duration	label
242.315	3.19	eyes_closed	
247.405	2.78	eyes_closed	
255.38	3.405	eyes_closed	
265.37	3.64	eyes_closed	
273.85	2.84	eyes_closed	
293.39	3.07	eyes_closed	
300.835	3.34	eyes_closed	
304.595	3.835	eyes_closed	
308.575	3.605	eyes_closed	
322.065	3.995	eyes_closed	
326.67	2.995	eyes_closed	
331.42	3.655	eyes_closed	
335.415	4.11	eyes_closed	
340.225	2.97	eyes_closed	
351.83	3.005	eyes_closed	
365.31	3.965	eyes_closed	
370.42	3.385	eyes_closed	
378.88	3.12	eyes_closed	
398.095	3.225	eyes_closed	
442.325	4.165	eyes_closed	
