onset	duration	label
9.44	3.55	eyes_closed	
18.135	3.89	eyes_closed	
35.185	4.515	eyes_closed	
52.155	4.48	eyes_closed	
67.69	4.415	eyes_closed	
82.155	3.825	eyes_closed	
96.36	4.67	eyes_closed	
114.74	3.745	eyes_closed	
126.515	3.03	eyes_closed	
129.545	3.55	eyes_closed	
139.02	4.295	eyes_closed	
161.735	5.395	eyes_closed	
174.87	4.74	eyes_closed	
189.755	3.51	eyes_closed	
205.12	3.495	eyes_closed	
291.555	3.33	eyes_closed	
297.835	4.37	eyes_closed	
310.235	4.415	eyes_closed	
337.195	4.335	eyes_closed	
351.62	3.695	eyes_closed	
366.07	4.02	eyes_closed	
