onset	duration	label
49.305	3.67	eyes_closed	
82.025	3.515	eyes_closed	
109.28	4.11	eyes_closed	
122.475	2.975	eyes_closed	
142.86	2.99	eyes_closed	
175.84	3.705	eyes_closed	
242.615	3.515	eyes_closed	
260.75	2.965	eyes_closed	
273.07	2.955	eyes_closed	
279.965	3.555	eyes_closed	
295.095	3.46	eyes_closed	
319.685	3.03	eyes_closed	
335.555	3.49	eyes_closed	
371.75	3.03	eyes_closed	
381.31	3.005	eyes_closed	
385.215	2.94	eyes_closed	
396.27	3.425	eyes_closed	
423.435	3.24	eyes_closed	
426.91	3.275	eyes_closed	
431.15	3.645	eyes_closed	
436.835	4.035	eyes_closed	
451.225	4.55	eyes_closed	
