onset	duration	label
52.17	4.37	eyes_closed	
57.14	3.8	eyes_closed	
61.67	3.93	eyes_closed	
65.76	2.92	eyes_closed	
96.905	5.825	eyes_closed	
109.125	4.02	eyes_closed	
139.245	4.595	eyes_closed	
147.275	5.99	eyes_closed	
160.55	7.44	eyes_closed	
177.155	5.98	eyes_closed	
183.37	3.81	eyes_closed	
197.415	3.24	eyes_closed	
215.25	3.34	eyes_closed	
218.67	2.975	eyes_closed	
221.815	5.6	eyes_closed	
240.04	3.915	eyes_closed	
250.3	3.42	eyes_closed	
257.575	3.655	eyes_closed	
262.365	3.525	eyes_closed	
297.43	4.88	eyes_closed	
