onset	duration	label
6.65	5.14	eyes_closed	
12.31	4.42	eyes_closed	
19.4	5.425	eyes_closed	
25.435	4.33	eyes_closed	
33.215	3.64	eyes_closed	
39.59	4.98	eyes_closed	
46.69	4.555	eyes_closed	
52.025	4.085	eyes_closed	
60.39	3.62	eyes_closed	
67.935	4.725	eyes_closed	
78.125	4.71	eyes_closed	
83.04	3.995	eyes_closed	
87.165	4.37	eyes_closed	
91.72	4.215	eyes_closed	
99.015	5.075	eyes_closed	
105.495	5.985	eyes_closed	
112.09	3.655	eyes_closed	
116.475	6.985	eyes_closed	
124.01	5.07	eyes_closed	
139.4	4.525	eyes_closed	
145.135	3.84	eyes_closed	
