onset	duration	label
51.39	3.33	eyes_closed	
66.245	3.125	eyes_closed	
70.825	3.515	eyes_closed	
100.72	3.28	eyes_closed	
107.055	3.62	eyes_closed	
115.67	4.03	eyes_closed	
121.705	3.42	eyes_closed	
136.655	3.665	eyes_closed	
162.115	2.845	eyes_closed	
185.06	2.97	eyes_closed	
211.82	3.425	eyes_closed	
216.285	3.16	eyes_closed	
242.33	3.24	eyes_closed	
250.02	3.42	eyes_closed	
265.825	3.68	eyes_closed	
280.29	4.06	eyes_closed	
291.245	3.02	eyes_closed	
303.19	3.47	eyes_closed	
335.245	3.405	eyes_closed	
341.305	3.2	eyes_closed	
350.31	2.9	eyes_closed	
353.585	3.53	eyes_closed	
363.11	3.67	eyes_closed	
368.26	3.515	eyes_closed	
377.615	2.9	eyes_closed	
