onset	duration	label
5.405	3.785	eyes_closed	
9.375	3.51	eyes_closed	
19.975	3.8	eyes_closed	
23.985	4.695	eyes_closed	
30.355	4.305	eyes_closed	
39.53	4.425	eyes_closed	
45.26	4.27	eyes_closed	
52.195	3.98	eyes_closed	
56.45	3.475	eyes_closed	
60.025	3.085	eyes_closed	
65.535	3.92	eyes_closed	
84.44	3.695	eyes_closed	
92.39	3.51	eyes_closed	
96.555	3.2	eyes_closed	
106.515	4.595	eyes_closed	
112.52	5.08	eyes_closed	
125.73	5.785	eyes_closed	
131.62	4.02	eyes_closed	
138.015	5.38	eyes_closed	
143.72	3.84	eyes_closed	
147.875	4.165	eyes_closed	
152.235	6.41	eyes_closed	
160.85	4.005	eyes_closed	
172.39	4.125	eyes_closed	
187.325	5.485	eyes_closed	
