onset	duration	label
6.27	3.905	eyes_closed	
23.365	3.32	eyes_closed	
27.27	2.69	eyes_closed	
40.28	3.12	eyes_closed	
48.135	3.255	eyes_closed	
69.185	3.85	eyes_closed	
83.405	3.59	eyes_closed	
92.045	4.055	eyes_closed	
124.945	4.33	eyes_closed	
136.85	4.03	eyes_closed	
166.225	3.21	eyes_closed	
204.77	3.54	eyes_closed	
212.16	3.55	eyes_closed	
242.16	4.035	eyes_closed	
273.93	3.435	eyes_closed	
296.58	3.355	eyes_closed	
302.28	4.64	eyes_closed	
311.06	3.745	eyes_closed	
320.855	4.84	eyes_closed	
339.98	3.875	eyes_closed	
365.075	3.995	eyes_closed	
377.07	3.29	eyes_closed	
