onset	duration	label
23.86	3.605	eyes_closed	
42.4	5.515	eyes_closed	
57.245	4.51	eyes_closed	
63.32	3.485	eyes_closed	
68.17	3.085	eyes_closed	
73.4	3.02	eyes_closed	
95.79	3.225	eyes_closed	
99.785	3.67	eyes_closed	
135.65	2.785	eyes_closed	
140.685	3.305	eyes_closed	
151.655	3.565	eyes_closed	
168.425	3.03	eyes_closed	
172.21	3.94	eyes_closed	
176.36	3.33	eyes_closed	
186.27	3.045	eyes_closed	
204.11	3.56	eyes_closed	
210.625	3.215	eyes_closed	
232.47	4.305	eyes_closed	
242.9	3.295	eyes_closed	
256.655	3.965	eyes_closed	
261.18	4.32	eyes_closed	
280.76	3.005	eyes_closed	
