onset	duration	label
0.155	480.185	eyes_closed	
7.575	4.5	eyes_closed	
14.34	3.645	eyes_closed	
79.92	2.69	eyes_closed	
87.375	3.43	eyes_closed	
92.485	3.175	eyes_closed	
134.64	4.415	eyes_closed	
172.065	2.76	eyes_closed	
227.1	2.625	eyes_closed	
250.975	3.795	eyes_closed	
264.04	2.96	eyes_closed	
272.56	2.795	eyes_closed	
308.98	3.08	eyes_closed	
312.525	2.575	eyes_closed	
318.57	2.81	eyes_closed	
323.23	2.81	eyes_closed	
327.26	2.66	eyes_closed	
336.145	3.23	eyes_closed	
359.325	7.605	eyes_closed	
367.53	2.61	eyes_closed	
399.115	4.78	eyes_closed	
410.52	2.56	eyes_closed	
413.48	2.995	eyes_closed	
417.86	10.48	eyes_closed	
450.905	2.68	eyes_closed	
454.72	6.94	eyes_closed	
463.19	4.23	eyes_closed	
471.525	4.25	eyes_closed	
537.195	2.625	eyes_open	
561.15	2.675	eyes_open	
567.415	2.845	eyes_open	
596.035	5.65	eyes_open	
