onset	duration	label
2.155	3.04	eyes_closed	
25.89	3.835	eyes_closed	
48.07	3.265	eyes_closed	
114.885	3.025	eyes_closed	
151.085	3.105	eyes_closed	
173.095	3.03	eyes_closed	
215.325	3.555	eyes_closed	
285.025	2.64	eyes_closed	
287.82	3.16	eyes_closed	
305.495	3.79	eyes_closed	
311.03	2.81	eyes_closed	
316.7	3.055	eyes_closed	
320.835	3.37	eyes_closed	
375.105	3.81	eyes_closed	
379.01	3.835	eyes_closed	
387.17	2.83	eyes_closed	
390.73	2.915	eyes_closed	
393.985	2.74	eyes_closed	
420.93	3.42	eyes_closed	
425.785	3.89	eyes_closed	
