onset	duration	label
29.015	3.805	eyes_closed	
34.835	2.81	eyes_closed	
41.07	2.6	eyes_closed	
46.02	2.615	eyes_closed	
89.77	3.1	eyes_closed	
96.355	2.71	eyes_closed	
117.075	2.875	eyes_closed	
126.05	2.63	eyes_closed	
133.105	2.865	eyes_closed	
141.73	2.81	eyes_closed	
166.61	2.585	eyes_closed	
178.14	2.62	eyes_closed	
252.605	3.225	eyes_closed	
273.795	3.12	eyes_closed	
309.04	3.7	eyes_closed	
324.605	3.57	eyes_closed	
331.145	3.865	eyes_closed	
428.68	2.955	eyes_closed	
465.515	2.82	eyes_closed	
484	2.62	eyes_closed	
492.32	2.645	eyes_closed	
515.365	2.73	eyes_open	
555.12	2.83	eyes_open	
559.82	2.665	eyes_open	
583.705	2.585	eyes_open	
592.06	2.73	eyes_open	
614.775	4.815	eyes_open	
641.995	2.585	eyes_open	
650.265	3.02	eyes_open	
