onset	duration	label
6.035	3.37	eyes_closed	
10.81	3.49	eyes_closed	
21.52	4.045	eyes_closed	
32.955	3.225	eyes_closed	
36.66	3.54	eyes_closed	
45.625	3.97	eyes_closed	
51.585	4.29	eyes_closed	
56.63	3.125	eyes_closed	
61.9	4.15	eyes_closed	
67.74	4.205	eyes_closed	
76.925	4.31	eyes_closed	
83.73	3.995	eyes_closed	
93.865	3.995	eyes_closed	
100.81	3.67	eyes_closed	
108.41	4.125	eyes_closed	
115.005	3.28	eyes_closed	
121.08	4.085	eyes_closed	
125.935	3.695	eyes_closed	
135.04	3.775	eyes_closed	
146.735	3.215	eyes_closed	
