onset	duration	label
3.12	3.055	eyes_closed	
7.94	2.595	eyes_closed	
10.965	3.305	eyes_closed	
22.44	2.85	eyes_closed	
34.14	3.235	eyes_closed	
49.4	4.115	eyes_closed	
54.27	5.22	eyes_closed	
61.67	3.175	eyes_closed	
65.615	3.445	eyes_closed	
69.32	3.055	eyes_closed	
75.17	3.37	eyes_closed	
82.205	4.155	eyes_closed	
98.945	2.895	eyes_closed	
105.015	2.78	eyes_closed	
115.55	4.045	eyes_closed	
122.715	3.175	eyes_closed	
140.04	2.975	eyes_closed	
143.435	3.51	eyes_closed	
154.57	2.715	eyes_closed	
160.535	3.88	eyes_closed	
170.34	3.445	eyes_closed	
176.75	3.08	eyes_closed	
183.89	3.345	eyes_closed	
191.595	3.33	eyes_closed	
342.9	4.035	eyes_closed	
