onset	duration	label
3.215	4.355	eyes_closed	
10.945	4.67	eyes_closed	
19.07	5.915	eyes_closed	
27.07	3.82	eyes_closed	
35.16	5.475	eyes_closed	
44.51	5.205	eyes_closed	
61.225	6.465	eyes_closed	
69.615	8.045	eyes_closed	
82.695	5.405	eyes_closed	
107.94	3.355	eyes_closed	
114.69	2.79	eyes_closed	
123.26	7.68	eyes_closed	
139.5	2.885	eyes_closed	
144.36	4.79	eyes_closed	
150.845	3.53	eyes_closed	
157.72	5.995	eyes_closed	
168.35	3.685	eyes_closed	
191.925	6.755	eyes_closed	
488.225	2.64	eyes_open	
508.64	5.885	eyes_open	
518.58	3.245	eyes_open	
540.895	3.24	eyes_open	
