onset	duration	label
20.195	3.16	eyes_closed	
47.835	2.925	eyes_closed	
62.9	3.2	eyes_closed	
66.475	3.175	eyes_closed	
90.525	3.055	eyes_closed	
94.205	3.2	eyes_closed	
100.495	3.02	eyes_closed	
152.14	3.76	eyes_closed	
170.89	2.95	eyes_closed	
174.885	3.485	eyes_closed	
181.425	3.13	eyes_closed	
189.66	2.875	eyes_closed	
199.385	3.735	eyes_closed	
205.745	3.54	eyes_closed	
212.6	3.04	eyes_closed	
218.865	3.2	eyes_closed	
237.05	4.15	eyes_closed	
243.905	4.41	eyes_closed	
262.34	2.935	eyes_closed	
270.355	3.615	eyes_closed	
