onset	duration	label
0.105	480.1	eyes_closed	
47.275	3.23	eyes_closed	
53.83	2.745	eyes_closed	
58.61	2.89	eyes_closed	
70.605	2.795	eyes_closed	
110.39	5.335	eyes_closed	
118.995	2.575	eyes_closed	
134.245	4.94	eyes_closed	
154.31	5.52	eyes_closed	
161.86	4.7	eyes_closed	
168.56	3.93	eyes_closed	
196.015	3.865	eyes_closed	
203.455	5.38	eyes_closed	
243.375	2.945	eyes_closed	
249.86	3.915	eyes_closed	
257.38	3.27	eyes_closed	
275.855	2.825	eyes_closed	
290.145	2.855	eyes_closed	
324.715	3.21	eyes_closed	
349.76	2.74	eyes_closed	
358.065	2.905	eyes_closed	
371.06	4.145	eyes_closed	
376.58	3.93	eyes_closed	
383.43	6.105	eyes_closed	
392.185	3.645	eyes_closed	
541.81	4	eyes_open	
601.44	5.345	eyes_open	
633.985	2.61	eyes_open	
638.735	3.83	eyes_open	
