onset	duration	label
8.43	3.41	eyes_closed	
16.43	3.385	eyes_closed	
30.48	3.32	eyes_closed	
36.065	3.535	eyes_closed	
54.59	3.745	eyes_closed	
62.175	3.81	eyes_closed	
69.405	3.5	eyes_closed	
81.855	3.555	eyes_closed	
86.565	6.09	eyes_closed	
93.655	4.465	eyes_closed	
113.105	3.825	eyes_closed	
167.005	4.46	eyes_closed	
175.785	3.72	eyes_closed	
184.67	3.67	eyes_closed	
199.75	3.835	eyes_closed	
212.085	4.315	eyes_closed	
216.83	4.32	eyes_closed	
262.365	3.915	eyes_closed	
286.68	4.11	eyes_closed	
291.43	3.785	eyes_closed	
