onset	duration	label
47.995	2.78	eyes_closed	
100.07	2.85	eyes_closed	
141.985	4.385	eyes_closed	
157.935	2.58	eyes_closed	
165.145	3.03	eyes_closed	
214.855	2.6	eyes_closed	
229.37	2.94	eyes_closed	
235.005	3.355	eyes_closed	
246.05	3.745	eyes_closed	
258.29	3.045	eyes_closed	
315.285	3.92	eyes_closed	
319.605	4.045	eyes_closed	
326.71	3.28	eyes_closed	
334.045	3.385	eyes_closed	
380.35	3.135	eyes_closed	
397.48	2.785	eyes_closed	
403.295	2.98	eyes_closed	
428.17	2.9	eyes_closed	
432.215	3.515	eyes_closed	
467.835	3.2	eyes_closed	
