onset	duration	label
30.285	2.58	eyes_closed	
46.95	2.58	eyes_closed	
71.605	3.005	eyes_closed	
81.57	3.46	eyes_closed	
100.055	2.995	eyes_closed	
109.045	3.815	eyes_closed	
124.32	4.175	eyes_closed	
130.305	3.615	eyes_closed	
139.5	2.735	eyes_closed	
153.815	3.525	eyes_closed	
160.825	3.995	eyes_closed	
175.11	3.185	eyes_closed	
198.305	3.565	eyes_closed	
214.84	4.1	eyes_closed	
225.185	2.975	eyes_closed	
266.135	3.295	eyes_closed	
291.87	3.03	eyes_closed	
383.055	3.03	eyes_closed	
415.84	3.405	eyes_closed	
420.415	2.58	eyes_closed	
427.05	3.15	eyes_closed	
445.225	3.41	eyes_closed	
456.18	3.435	eyes_closed	
468.11	2.835	eyes_closed	
475.37	2.86	eyes_closed	
