onset	duration	label
34.565	3.11	eyes_closed	
37.845	3.5	eyes_closed	
47.2	3.8	eyes_closed	
85.5	3.42	eyes_closed	
141.01	4.41	eyes_closed	
147.245	3.485	eyes_closed	
161.305	3.685	eyes_closed	
181.17	3.58	eyes_closed	
210.73	4.995	eyes_closed	
225.56	4.15	eyes_closed	
230.165	3.515	eyes_closed	
241.94	4.565	eyes_closed	
273.225	3.63	eyes_closed	
293.95	4.125	eyes_closed	
302.67	3.03	eyes_closed	
350.025	3.525	eyes_closed	
355.42	3.825	eyes_closed	
361.535	4.19	eyes_closed	
367.015	4.07	eyes_closed	
