onset	duration	label
0.38	3.015	eyes_closed	
3.515	4.03	eyes_closed	
7.705	3.94	eyes_closed	
16.305	4.325	eyes_closed	
21.1	4.53	eyes_closed	
25.785	3.98	eyes_closed	
34.125	4.335	eyes_closed	
38.8	3.59	eyes_closed	
42.48	3.92	eyes_closed	
48.305	3.46	eyes_closed	
52.155	4.11	eyes_closed	
77.86	4.425	eyes_closed	
82.755	3.68	eyes_closed	
86.57	3.17	eyes_closed	
98.915	4.18	eyes_closed	
105.615	4.255	eyes_closed	
110.56	3.565	eyes_closed	
115.025	4.595	eyes_closed	
121.385	4.4	eyes_closed	
126.23	3.625	eyes_closed	
130.665	3.955	eyes_closed	
