onset	duration	label
0.63	4.865	eyes_closed	
7.56	3.51	eyes_closed	
26.06	2.87	eyes_closed	
37.31	3.955	eyes_closed	
46.32	3.46	eyes_closed	
53.615	3.46	eyes_closed	
67.43	3.51	eyes_closed	
80.025	2.665	eyes_closed	
100.315	2.86	eyes_closed	
105.3	3.475	eyes_closed	
110.065	2.9	eyes_closed	
121.605	3.175	eyes_closed	
129.48	3	eyes_closed	
139.925	2.815	eyes_closed	
151.345	3.38	eyes_closed	
155.94	3.07	eyes_closed	
169.32	2.81	eyes_closed	
174.01	3.29	eyes_closed	
182.94	3.315	eyes_closed	
207.47	3.68	eyes_closed	
216.23	4.045	eyes_closed	
220.745	3.55	eyes_closed	
262.795	3.095	eyes_closed	
