onset	duration	label
18.76	2.665	eyes_closed	
24.125	2.95	eyes_closed	
31.165	3.25	eyes_closed	
36.41	3.71	eyes_closed	
40.835	3.475	eyes_closed	
50.195	2.64	eyes_closed	
75.235	3.08	eyes_closed	
84.295	3.145	eyes_closed	
158.75	4.06	eyes_closed	
187.48	3.135	eyes_closed	
203.5	3.5	eyes_closed	
212.48	3.045	eyes_closed	
219.125	2.56	eyes_closed	
249.19	3.45	eyes_closed	
256.255	2.975	eyes_closed	
260.51	2.86	eyes_closed	
292.9	2.78	eyes_closed	
311.515	3.015	eyes_closed	
315.73	3.92	eyes_closed	
337.115	3.24	eyes_closed	
390.55	3.095	eyes_closed	
