onset	duration	label
134.195	2.7	eyes_closed	
140.65	4.29	eyes_closed	
157.715	3.91	eyes_closed	
164.935	2.615	eyes_closed	
167.55	11.04	eyes_closed	
181.765	15.425	eyes_closed	
209.54	2.69	eyes_closed	
223.195	2.84	eyes_closed	
233.17	4.145	eyes_closed	
237.915	3.765	eyes_closed	
265.89	13.76	eyes_closed	
289.725	5.995	eyes_closed	
310.275	2.835	eyes_closed	
321.965	4.18	eyes_closed	
327.035	3.98	eyes_closed	
343.855	3.345	eyes_closed	
350.305	8.75	eyes_closed	
363.765	4.255	eyes_closed	
382.895	8.07	eyes_closed	
395.835	3.865	eyes_closed	
404.74	3.61	eyes_closed	
425.66	2.885	eyes_closed	
