onset	duration	label
40.63	3.8	eyes_closed	
53.04	3.16	eyes_closed	
81.17	3.42	eyes_closed	
99.745	4.19	eyes_closed	
125.985	3.67	eyes_closed	
130.2	3.745	eyes_closed	
139.8	2.97	eyes_closed	
228.915	4.605	eyes_closed	
250.995	3.77	eyes_closed	
258.945	3.63	eyes_closed	
264.825	3.04	eyes_closed	
272.785	3.785	eyes_closed	
281.62	3.21	eyes_closed	
323.6	3.55	eyes_closed	
350.1	3.32	eyes_closed	
366.715	3.735	eyes_closed	
391.86	3.67	eyes_closed	
396.335	3.085	eyes_closed	
401.035	3.63	eyes_closed	
425.515	3.79	eyes_closed	
443.68	2.95	eyes_closed	
