onset	duration	label
7.69	3.475	eyes_closed	
15.705	2.625	eyes_closed	
31.26	11.25	eyes_closed	
44.205	7.26	eyes_closed	
54.94	4.66	eyes_closed	
60.535	3.77	eyes_closed	
71.87	3.95	eyes_closed	
76.925	3.995	eyes_closed	
97.715	3.97	eyes_closed	
110.375	3.185	eyes_closed	
122.81	3.695	eyes_closed	
138.06	4.095	eyes_closed	
143.225	3.265	eyes_closed	
175.05	3.945	eyes_closed	
241.505	3.365	eyes_closed	
249.765	2.9	eyes_closed	
318.23	3.365	eyes_closed	
403.66	3.08	eyes_closed	
418.985	3.055	eyes_closed	
433.045	4.08	eyes_closed	
468.74	2.605	eyes_closed	
475.205	3.12	eyes_closed	
519.99	3.365	eyes_closed	
