onset	duration	label
16.495	3.565	eyes_closed	
50.83	4.475	eyes_closed	
57.555	4.945	eyes_closed	
62.67	3.86	eyes_closed	
66.83	4.28	eyes_closed	
80.945	5.385	eyes_closed	
90.845	3.815	eyes_closed	
100.29	4.02	eyes_closed	
114.445	4.93	eyes_closed	
126.325	4.825	eyes_closed	
131.255	3.68	eyes_closed	
139.995	4.02	eyes_closed	
150.04	3.16	eyes_closed	
171.44	4.75	eyes_closed	
196.64	3.71	eyes_closed	
210.155	6.34	eyes_closed	
227.81	4.995	eyes_closed	
240.835	5.425	eyes_closed	
247.3	5.41	eyes_closed	
257.565	6.96	eyes_closed	
272.16	7.61	eyes_closed	
289.28	5.465	eyes_closed	
296.89	5.675	eyes_closed	
