onset	duration	label
5.395	3.3	eyes_closed	
32.43	2.73	eyes_closed	
49.22	2.65	eyes_closed	
66.635	2.885	eyes_closed	
79.765	2.78	eyes_closed	
85.17	3.565	eyes_closed	
91.605	2.81	eyes_closed	
130.065	3.395	eyes_closed	
158.135	3	eyes_closed	
174.14	2.625	eyes_closed	
187.14	3.2	eyes_closed	
199.855	3.605	eyes_closed	
218.67	3	eyes_closed	
231.335	3.615	eyes_closed	
241.805	3	eyes_closed	
252.47	2.7	eyes_closed	
258.265	3.94	eyes_closed	
272.365	3.015	eyes_closed	
278.655	4.49	eyes_closed	
293.775	2.755	eyes_closed	
