onset	duration	label
2.255	4.2	eyes_closed	
11.865	11.68	eyes_closed	
25.575	1.83	eyes_closed	
29.33	7.32	eyes_closed	
40.35	5.31	eyes_closed	
47.755	5.565	eyes_closed	
54.9	7.86	eyes_closed	
66.76	1.465	eyes_closed	
76.26	3.005	eyes_closed	
103.475	3.88	eyes_closed	
110.66	3.935	eyes_closed	
115.76	8.14	eyes_closed	
136.065	3.48	eyes_closed	
151.14	5.015	eyes_closed	
163.33	0.955	eyes_closed	
171.91	6.13	eyes_closed	
181.99	5.84	eyes_closed	
189.11	0.79	eyes_closed	
191.055	3.575	eyes_closed	
196.08	3.895	eyes_closed	
200.125	3.195	eyes_closed	
208.4	3.23	eyes_closed	
213.655	0.805	eyes_closed	
218.885	3.52	eyes_closed	
228.175	1.105	eyes_closed	
229.56	0.755	eyes_closed	
250.065	0.845	eyes_closed	
252.055	4.65	eyes_closed	
256.995	4.21	eyes_closed	
290.9	0.56	eyes_closed	
315.675	8.005	eyes_closed	
335.75	3.815	eyes_closed	
345.79	3.78	eyes_closed	
381.76	3.21	eyes_closed	
482.98	1.105	eyes_closed	
487.225	10.615	eyes_open	
498.255	1.085	eyes_open	
513.675	1.17	eyes_open	
515.82	3.595	eyes_open	
522.47	2.8	eyes_open	
525.815	3.355	eyes_open	
530.295	1.415	eyes_open	
548.79	6.945	eyes_open	
559.01	0.87	eyes_open	
560.365	3.48	eyes_closed	
564.035	1.005	eyes_closed	
578.725	1.16	eyes_closed	
580.67	3.78	eyes_open	
589.415	3.945	eyes_open	
594.88	0.98	eyes_open	
602.245	8.615	eyes_open	
611.12	1.415	eyes_open	
613.45	3.155	eyes_open	
617.345	4.385	eyes_open	
623.2	1.27	eyes_open	
625.24	4.435	eyes_open	
629.94	0.95	eyes_open	
640.715	5.185	eyes_open	
646.42	1.435	eyes_open	
648.71	3.31	eyes_closed	
655.585	1.675	eyes_closed	
686.775	1.805	eyes_closed	
689.985	3.365	eyes_closed	
818.245	5.94	eyes_closed	
