onset	duration	label
30.9	3.875	eyes_closed	
85.37	3.265	eyes_closed	
90.975	3.175	eyes_closed	
106.055	3.305	eyes_closed	
114.575	2.835	eyes_closed	
122.395	2.955	eyes_closed	
131.295	2.68	eyes_closed	
137.015	2.905	eyes_closed	
156.235	2.885	eyes_closed	
173.69	3.28	eyes_closed	
182.785	3.5	eyes_closed	
199.555	2.72	eyes_closed	
215.88	3.865	eyes_closed	
230.025	3.785	eyes_closed	
278.64	2.885	eyes_closed	
288.355	3.475	eyes_closed	
311.71	2.955	eyes_closed	
318.955	3.225	eyes_closed	
323.21	3.085	eyes_closed	
348.555	3.25	eyes_closed	
365.48	3.25	eyes_closed	
