onset	duration	label
0.71	479.48	eyes_open	
26.015	4.78	eyes_closed	
35.44	3.195	eyes_closed	
41.525	5	eyes_closed	
49.695	3.43	eyes_closed	
55.495	3.31	eyes_closed	
64.05	4.145	eyes_closed	
86.385	2.995	eyes_closed	
94.225	3.21	eyes_closed	
112.185	4.085	eyes_closed	
153.605	2.625	eyes_closed	
161.59	4.1	eyes_closed	
208.385	5.3	eyes_closed	
226.7	3.645	eyes_closed	
243.965	2.96	eyes_closed	
253.98	3.01	eyes_closed	
304.495	3.595	eyes_closed	
312.875	2.59	eyes_closed	
335.655	3.78	eyes_closed	
348.19	4.93	eyes_closed	
361.905	3.11	eyes_closed	
