onset	duration	label
18.525	3.89	eyes_closed	
23.965	4.785	eyes_closed	
38.575	3.835	eyes_closed	
48.85	4.215	eyes_closed	
54.045	4.705	eyes_closed	
62.345	4.355	eyes_closed	
67	3.76	eyes_closed	
77.89	3.51	eyes_closed	
93.76	5.1	eyes_closed	
98.965	3.705	eyes_closed	
106.835	3.355	eyes_closed	
124.465	4.825	eyes_closed	
136.94	4.215	eyes_closed	
151.925	3.88	eyes_closed	
156.545	4.76	eyes_closed	
167.2	2.81	eyes_closed	
175.68	3.735	eyes_closed	
182.015	4.58	eyes_closed	
186.87	4.085	eyes_closed	
197.305	4.825	eyes_closed	
204.055	3.945	eyes_closed	
212.51	3.67	eyes_closed	
216.31	4.555	eyes_closed	
225.95	4.79	eyes_closed	
241.04	4.295	eyes_closed	
246	4.15	eyes_closed	
250.45	4.265	eyes_closed	
258.15	4.16	eyes_closed	
262.99	4.125	eyes_closed	
267.23	5.125	eyes_closed	
272.85	5.855	eyes_closed	
278.845	4.7	eyes_closed	
285.26	4.985	eyes_closed	
291.53	4.71	eyes_closed	
301.965	4.92	eyes_closed	
311.265	3.695	eyes_closed	
315.105	3.28	eyes_closed	
319.1	4.735	eyes_closed	
336.91	4.125	eyes_closed	
347.54	4.81	eyes_closed	
781.98	3.51	eyes_closed	
