onset	duration	label
18.97	2.9	eyes_closed	
30.625	3.215	eyes_closed	
35.985	2.825	eyes_closed	
49.855	3.68	eyes_closed	
59.39	2.6	eyes_closed	
109.685	2.56	eyes_closed	
124.865	2.905	eyes_closed	
146.605	3.2	eyes_closed	
154.71	3.525	eyes_closed	
174.275	2.745	eyes_closed	
180.155	2.85	eyes_closed	
200.96	2.875	eyes_closed	
211.275	3.125	eyes_closed	
267.14	2.755	eyes_closed	
270.755	4.605	eyes_closed	
290.96	2.77	eyes_closed	
300.08	3.38	eyes_closed	
333.135	3.655	eyes_closed	
346.07	2.77	eyes_closed	
367.235	3.185	eyes_closed	
417.96	3.265	eyes_closed	
438.75	3.665	eyes_closed	
472.805	3.655	eyes_closed	
