onset	duration	label
7.14	3.735	eyes_closed	
23.84	4.045	eyes_closed	
31.87	2.595	eyes_closed	
37.77	3.235	eyes_closed	
41.815	3.005	eyes_closed	
45.29	3.43	eyes_closed	
66.335	3.755	eyes_closed	
71.28	3.29	eyes_closed	
77.17	4.24	eyes_closed	
82.325	3.865	eyes_closed	
90.76	3.525	eyes_closed	
95.81	3.93	eyes_closed	
99.925	3.69	eyes_closed	
106.87	4.37	eyes_closed	
113.46	3.645	eyes_closed	
122.47	3.835	eyes_closed	
129.285	3.56	eyes_closed	
136.425	3.38	eyes_closed	
140.12	3.235	eyes_closed	
144.635	3.565	eyes_closed	
152.845	3.725	eyes_closed	
156.765	3.615	eyes_closed	
160.995	2.87	eyes_closed	
167.64	3.59	eyes_closed	
