onset	duration	label
20.035	3.385	eyes_closed	
34.02	3.85	eyes_closed	
48.905	4.03	eyes_closed	
100.42	3.525	eyes_closed	
114.34	3.695	eyes_closed	
152.215	4.215	eyes_closed	
173.745	3.38	eyes_closed	
188.56	3.995	eyes_closed	
206.2	3.735	eyes_closed	
229.01	4.225	eyes_closed	
262.885	3.63	eyes_closed	
318.93	3.615	eyes_closed	
377.68	3.255	eyes_closed	
391.29	3.46	eyes_closed	
396.845	3.395	eyes_closed	
412.82	3.29	eyes_closed	
423.63	3.785	eyes_closed	
437.735	3.405	eyes_closed	
451.705	3.255	eyes_closed	
