onset	duration	label
22.805	7.12	eyes_closed	
30.64	15.01	eyes_closed	
60.695	8.835	eyes_closed	
87.245	4.5	eyes_closed	
99.9	3.075	eyes_closed	
109.28	5.97	eyes_closed	
124.765	2.73	eyes_closed	
148.115	6.35	eyes_closed	
205.765	3.055	eyes_closed	
260.705	3.33	eyes_closed	
279.98	3.62	eyes_closed	
290.875	4.465	eyes_closed	
321.975	8.055	eyes_closed	
348.5	3.445	eyes_closed	
355.465	3.185	eyes_closed	
391.94	2.81	eyes_closed	
403.715	4.78	eyes_closed	
411.19	4.58	eyes_closed	
434.29	3.645	eyes_closed	
