onset	duration	label
18.715	2.545	eyes_closed	
28.675	4.39	eyes_closed	
39.1	2.84	eyes_closed	
43.11	0.86	eyes_closed	
50.325	3.38	eyes_closed	
57.005	0.88	eyes_closed	
61.04	7.625	eyes_closed	
78.05	7.535	eyes_closed	
87.19	7.1	eyes_closed	
101.54	6.935	eyes_closed	
109.4	2.565	eyes_closed	
112.805	1.05	eyes_closed	
116.785	0.915	eyes_closed	
119.665	0.865	eyes_closed	
122.77	1.05	eyes_closed	
132.37	3.445	eyes_closed	
138.435	16.695	eyes_closed	
163.915	8.8	eyes_closed	
173.505	2.61	eyes_closed	
179.19	2.23	eyes_closed	
182.03	0.84	eyes_closed	
191.65	3.06	eyes_closed	
202.335	2.74	eyes_closed	
216.69	0.68	eyes_closed	
233.85	2.34	eyes_closed	
239.565	2.04	eyes_closed	
245.335	2.965	eyes_closed	
251.41	0.615	eyes_closed	
254.955	3.23	eyes_closed	
259.215	2.575	eyes_closed	
263.54	0.645	eyes_closed	
268.465	4.125	eyes_closed	
286.495	2.71	eyes_closed	
300.415	2.82	eyes_closed	
312.6	2.875	eyes_closed	
344.075	3.71	eyes_closed	
349.74	11.28	eyes_closed	
367.29	1.885	eyes_closed	
376.17	5.035	eyes_closed	
395.305	0.6	eyes_closed	
416.46	3.99	eyes_closed	
440.32	3.14	eyes_closed	
451.29	3.455	eyes_closed	
477.135	1.17	eyes_closed	
482.35	0.325	eyes_closed	
484.77	4.97	eyes_closed	
496.655	0.895	eyes_closed	
511.585	0.78	eyes_closed	
514.84	2.165	eyes_closed	
523.5	0.905	eyes_closed	
