onset	duration	label
14.78	3.095	eyes_closed	
33.485	4.755	eyes_closed	
49.335	3.445	eyes_closed	
71.595	3.485	eyes_closed	
78.655	3.045	eyes_closed	
86.54	4.295	eyes_closed	
135.105	3.395	eyes_closed	
141.54	3.265	eyes_closed	
149.01	5.04	eyes_closed	
164.06	3.525	eyes_closed	
176.71	4.14	eyes_closed	
195.325	4.625	eyes_closed	
206.255	3.365	eyes_closed	
215.29	3.98	eyes_closed	
225.615	3.525	eyes_closed	
229.635	3.745	eyes_closed	
236.03	4.925	eyes_closed	
241.295	4.53	eyes_closed	
257.86	4.845	eyes_closed	
264.425	3.815	eyes_closed	
