onset	duration	label
10.785	3.355	eyes_closed	
20.4	3.265	eyes_closed	
24.38	3.695	eyes_closed	
36.075	3.67	eyes_closed	
77.89	3.25	eyes_closed	
107.51	3.265	eyes_closed	
111.245	3.19	eyes_closed	
120.065	2.745	eyes_closed	
123.63	3.695	eyes_closed	
137.8	4.25	eyes_closed	
167.085	4.29	eyes_closed	
175.385	3.665	eyes_closed	
182.55	3.45	eyes_closed	
188.43	5.245	eyes_closed	
216.56	4.315	eyes_closed	
230.88	3.97	eyes_closed	
245.32	4.115	eyes_closed	
258.425	3.795	eyes_closed	
270.13	3.32	eyes_closed	
286.055	4.32	eyes_closed	
