onset	duration	label
5.255	3.11	eyes_closed	
10.24	3.46	eyes_closed	
25.02	3.825	eyes_closed	
32.07	3.355	eyes_closed	
49.775	4.175	eyes_closed	
61.015	3.58	eyes_closed	
66.935	4.255	eyes_closed	
87.27	4.525	eyes_closed	
93.15	4.435	eyes_closed	
98.16	3.86	eyes_closed	
105.415	3.385	eyes_closed	
110.415	3.265	eyes_closed	
115.41	3.175	eyes_closed	
130.045	3.315	eyes_closed	
135.155	3.165	eyes_closed	
142.56	3.865	eyes_closed	
156.13	3.225	eyes_closed	
170.555	4.19	eyes_closed	
187.025	3.33	eyes_closed	
191.815	3.095	eyes_closed	
206.035	2.56	eyes_closed	
218.34	3.875	eyes_closed	
